"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/09/2016 21:29:09:964 +0000"

"MODEL SETTINGS"
"immune-chance","num-infect","initial-people","recovery-chance"
"5","50","150","7"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","165","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"54","57","15","true","54","93","55","true","54","7","5","true","54","5","25","true","54","150","35","true","54","50","45","true"
"55","56","15","true","55","94","55","true","55","7","5","true","55","5","25","true","55","150","35","true","55","50","45","true"
"56","60","15","true","56","90","55","true","56","7","5","true","56","5","25","true","56","150","35","true","56","50","45","true"
"57","64","15","true","57","86","55","true","57","7","5","true","57","5","25","true","57","150","35","true","57","50","45","true"
"58","69","15","true","58","81","55","true","58","7","5","true","58","5","25","true","58","150","35","true","58","50","45","true"
"59","67","15","true","59","83","55","true","59","7","5","true","59","5","25","true","59","150","35","true","59","50","45","true"
"60","66","15","true","60","84","55","true","60","7","5","true","60","5","25","true","60","150","35","true","60","50","45","true"
"61","66","15","true","61","84","55","true","61","7","5","true","61","5","25","true","61","150","35","true","61","50","45","true"
"62","68","15","true","62","82","55","true","62","7","5","true","62","5","25","true","62","150","35","true","62","50","45","true"
"63","71","15","true","63","79","55","true","63","7","5","true","63","5","25","true","63","150","35","true","63","50","45","true"
"64","73","15","true","64","77","55","true","64","7","5","true","64","5","25","true","64","150","35","true","64","50","45","true"
"65","73","15","true","65","77","55","true","65","7","5","true","65","5","25","true","65","150","35","true","65","50","45","true"
"66","71","15","true","66","79","55","true","66","7","5","true","66","5","25","true","66","150","35","true","66","50","45","true"
"67","70","15","true","67","80","55","true","67","7","5","true","67","5","25","true","67","150","35","true","67","50","45","true"
"68","69","15","true","68","81","55","true","68","7","5","true","68","5","25","true","68","150","35","true","68","50","45","true"
"69","69","15","true","69","81","55","true","69","7","5","true","69","5","25","true","69","150","35","true","69","50","45","true"
"70","61","15","true","70","89","55","true","70","7","5","true","70","5","25","true","70","150","35","true","70","50","45","true"
"71","62","15","true","71","88","55","true","71","7","5","true","71","5","25","true","71","150","35","true","71","50","45","true"
"72","64","15","true","72","86","55","true","72","7","5","true","72","5","25","true","72","150","35","true","72","50","45","true"
"73","60","15","true","73","90","55","true","73","7","5","true","73","5","25","true","73","150","35","true","73","50","45","true"
"74","60","15","true","74","90","55","true","74","7","5","true","74","5","25","true","74","150","35","true","74","50","45","true"
"75","59","15","true","75","91","55","true","75","7","5","true","75","5","25","true","75","150","35","true","75","50","45","true"
"76","57","15","true","76","93","55","true","76","7","5","true","76","5","25","true","76","150","35","true","76","50","45","true"
"77","61","15","true","77","89","55","true","77","7","5","true","77","5","25","true","77","150","35","true","77","50","45","true"
"78","65","15","true","78","85","55","true","78","7","5","true","78","5","25","true","78","150","35","true","78","50","45","true"
"79","66","15","true","79","84","55","true","79","7","5","true","79","5","25","true","79","150","35","true","79","50","45","true"
"80","63","15","true","80","87","55","true","80","7","5","true","80","5","25","true","80","150","35","true","80","50","45","true"
"81","66","15","true","81","84","55","true","81","7","5","true","81","5","25","true","81","150","35","true","81","50","45","true"
"82","70","15","true","82","80","55","true","82","7","5","true","82","5","25","true","82","150","35","true","82","50","45","true"
"83","73","15","true","83","77","55","true","83","7","5","true","83","5","25","true","83","150","35","true","83","50","45","true"
"84","73","15","true","84","77","55","true","84","7","5","true","84","5","25","true","84","150","35","true","84","50","45","true"
"85","72","15","true","85","78","55","true","85","7","5","true","85","5","25","true","85","150","35","true","85","50","45","true"
"86","71","15","true","86","79","55","true","86","7","5","true","86","5","25","true","86","150","35","true","86","50","45","true"
"87","68","15","true","87","82","55","true","87","7","5","true","87","5","25","true","87","150","35","true","87","50","45","true"
"88","66","15","true","88","84","55","true","88","7","5","true","88","5","25","true","88","150","35","true","88","50","45","true"
"89","64","15","true","89","86","55","true","89","7","5","true","89","5","25","true","89","150","35","true","89","50","45","true"
"90","64","15","true","90","86","55","true","90","7","5","true","90","5","25","true","90","150","35","true","90","50","45","true"
"91","64","15","true","91","86","55","true","91","7","5","true","91","5","25","true","91","150","35","true","91","50","45","true"
"92","63","15","true","92","87","55","true","92","7","5","true","92","5","25","true","92","150","35","true","92","50","45","true"
"93","62","15","true","93","88","55","true","93","7","5","true","93","5","25","true","93","150","35","true","93","50","45","true"
"94","63","15","true","94","87","55","true","94","7","5","true","94","5","25","true","94","150","35","true","94","50","45","true"
"95","59","15","true","95","91","55","true","95","7","5","true","95","5","25","true","95","150","35","true","95","50","45","true"
"96","58","15","true","96","92","55","true","96","7","5","true","96","5","25","true","96","150","35","true","96","50","45","true"
"97","59","15","true","97","91","55","true","97","7","5","true","97","5","25","true","97","150","35","true","97","50","45","true"
"98","62","15","true","98","88","55","true","98","7","5","true","98","5","25","true","98","150","35","true","98","50","45","true"
"99","61","15","true","99","89","55","true","99","7","5","true","99","5","25","true","99","150","35","true","99","50","45","true"
"100","64","15","true","100","86","55","true","100","7","5","true","100","5","25","true","100","150","35","true","100","50","45","true"
"101","58","15","true","101","92","55","true","101","7","5","true","101","5","25","true","101","150","35","true","101","50","45","true"
"102","54","15","true","102","96","55","true","102","7","5","true","102","5","25","true","102","150","35","true","102","50","45","true"
"103","52","15","true","103","98","55","true","103","7","5","true","103","5","25","true","103","150","35","true","103","50","45","true"
"104","55","15","true","104","95","55","true","104","7","5","true","104","5","25","true","104","150","35","true","104","50","45","true"
"105","56","15","true","105","94","55","true","105","7","5","true","105","5","25","true","105","150","35","true","105","50","45","true"
"106","56","15","true","106","94","55","true","106","7","5","true","106","5","25","true","106","150","35","true","106","50","45","true"
"107","57","15","true","107","93","55","true","107","7","5","true","107","5","25","true","107","150","35","true","107","50","45","true"
"108","60","15","true","108","90","55","true","108","7","5","true","108","5","25","true","108","150","35","true","108","50","45","true"
"109","62","15","true","109","88","55","true","109","7","5","true","109","5","25","true","109","150","35","true","109","50","45","true"
"110","62","15","true","110","88","55","true","110","7","5","true","110","5","25","true","110","150","35","true","110","50","45","true"
"111","61","15","true","111","89","55","true","111","7","5","true","111","5","25","true","111","150","35","true","111","50","45","true"
"112","61","15","true","112","89","55","true","112","7","5","true","112","5","25","true","112","150","35","true","112","50","45","true"
"113","60","15","true","113","90","55","true","113","7","5","true","113","5","25","true","113","150","35","true","113","50","45","true"
"114","62","15","true","114","88","55","true","114","7","5","true","114","5","25","true","114","150","35","true","114","50","45","true"
"115","62","15","true","115","88","55","true","115","7","5","true","115","5","25","true","115","150","35","true","115","50","45","true"
"116","68","15","true","116","82","55","true","116","7","5","true","116","5","25","true","116","150","35","true","116","50","45","true"
"117","68","15","true","117","82","55","true","117","7","5","true","117","5","25","true","117","150","35","true","117","50","45","true"
"118","69","15","true","118","81","55","true","118","7","5","true","118","5","25","true","118","150","35","true","118","50","45","true"
"119","68","15","true","119","82","55","true","119","7","5","true","119","5","25","true","119","150","35","true","119","50","45","true"
"120","72","15","true","120","78","55","true","120","7","5","true","120","5","25","true","120","150","35","true","120","50","45","true"
"121","70","15","true","121","80","55","true","121","7","5","true","121","5","25","true","121","150","35","true","121","50","45","true"
"122","66","15","true","122","84","55","true","122","7","5","true","122","5","25","true","122","150","35","true","122","50","45","true"
"123","67","15","true","123","83","55","true","123","7","5","true","123","5","25","true","123","150","35","true","123","50","45","true"
"124","69","15","true","124","81","55","true","124","7","5","true","124","5","25","true","124","150","35","true","124","50","45","true"
"125","71","15","true","125","79","55","true","125","7","5","true","125","5","25","true","125","150","35","true","125","50","45","true"
"126","76","15","true","126","74","55","true","126","7","5","true","126","5","25","true","126","150","35","true","126","50","45","true"
"127","77","15","true","127","73","55","true","127","7","5","true","127","5","25","true","127","150","35","true","127","50","45","true"
"128","81","15","true","128","69","55","true","128","7","5","true","128","5","25","true","128","150","35","true","128","50","45","true"
"129","75","15","true","129","75","55","true","129","7","5","true","129","5","25","true","129","150","35","true","129","50","45","true"
"130","73","15","true","130","77","55","true","130","7","5","true","130","5","25","true","130","150","35","true","130","50","45","true"
"131","75","15","true","131","75","55","true","131","7","5","true","131","5","25","true","131","150","35","true","131","50","45","true"
"132","76","15","true","132","74","55","true","132","7","5","true","132","5","25","true","132","150","35","true","132","50","45","true"
"133","78","15","true","133","72","55","true","133","7","5","true","133","5","25","true","133","150","35","true","133","50","45","true"
"134","77","15","true","134","73","55","true","134","7","5","true","134","5","25","true","134","150","35","true","134","50","45","true"
"135","76","15","true","135","74","55","true","135","7","5","true","135","5","25","true","135","150","35","true","135","50","45","true"
"136","78","15","true","136","72","55","true","136","7","5","true","136","5","25","true","136","150","35","true","136","50","45","true"
"137","77","15","true","137","73","55","true","137","7","5","true","137","5","25","true","137","150","35","true","137","50","45","true"
"138","74","15","true","138","76","55","true","138","7","5","true","138","5","25","true","138","150","35","true","138","50","45","true"
"139","73","15","true","139","77","55","true","139","7","5","true","139","5","25","true","139","150","35","true","139","50","45","true"
"140","76","15","true","140","74","55","true","140","7","5","true","140","5","25","true","140","150","35","true","140","50","45","true"
"141","72","15","true","141","78","55","true","141","7","5","true","141","5","25","true","141","150","35","true","141","50","45","true"
"142","76","15","true","142","74","55","true","142","7","5","true","142","5","25","true","142","150","35","true","142","50","45","true"
"143","73","15","true","143","77","55","true","143","7","5","true","143","5","25","true","143","150","35","true","143","50","45","true"
"144","72","15","true","144","78","55","true","144","7","5","true","144","5","25","true","144","150","35","true","144","50","45","true"
"145","67","15","true","145","83","55","true","145","7","5","true","145","5","25","true","145","150","35","true","145","50","45","true"
"146","69","15","true","146","81","55","true","146","7","5","true","146","5","25","true","146","150","35","true","146","50","45","true"
"147","74","15","true","147","76","55","true","147","7","5","true","147","5","25","true","147","150","35","true","147","50","45","true"
"148","73","15","true","148","77","55","true","148","7","5","true","148","5","25","true","148","150","35","true","148","50","45","true"
"149","72","15","true","149","78","55","true","149","7","5","true","149","5","25","true","149","150","35","true","149","50","45","true"
"150","69","15","true","150","81","55","true","150","7","5","true","150","5","25","true","150","150","35","true","150","50","45","true"
"151","67","15","true","151","83","55","true","151","7","5","true","151","5","25","true","151","150","35","true","151","50","45","true"
"152","70","15","true","152","80","55","true","152","7","5","true","152","5","25","true","152","150","35","true","152","50","45","true"
"153","66","15","true","153","84","55","true","153","7","5","true","153","5","25","true","153","150","35","true","153","50","45","true"
"154","62","15","true","154","88","55","true","154","7","5","true","154","5","25","true","154","150","35","true","154","50","45","true"
"155","61","15","true","155","89","55","true","155","7","5","true","155","5","25","true","155","150","35","true","155","50","45","true"
"156","57","15","true","156","93","55","true","156","7","5","true","156","5","25","true","156","150","35","true","156","50","45","true"
"157","55","15","true","157","95","55","true","157","7","5","true","157","5","25","true","157","150","35","true","157","50","45","true"
"158","53","15","true","158","97","55","true","158","7","5","true","158","5","25","true","158","150","35","true","158","50","45","true"
"159","51","15","true","159","99","55","true","159","7","5","true","159","5","25","true","159","150","35","true","159","50","45","true"
"160","53","15","true","160","97","55","true","160","7","5","true","160","5","25","true","160","150","35","true","160","50","45","true"
"161","54","15","true","161","96","55","true","161","7","5","true","161","5","25","true","161","150","35","true","161","50","45","true"
"162","54","15","true","162","96","55","true","162","7","5","true","162","5","25","true","162","150","35","true","162","50","45","true"
"163","54","15","true","163","96","55","true","163","7","5","true","163","5","25","true","163","150","35","true","163","50","45","true"
"164","59","15","true","164","91","55","true","164","7","5","true","164","5","25","true","164","150","35","true","164","50","45","true"
"165","53","15","true","165","97","55","true","165","7","5","true","165","5","25","true","165","150","35","true","165","50","45","true"
"166","50","15","true","166","100","55","true","166","7","5","true","166","5","25","true","166","150","35","true","166","50","45","true"
"167","50","15","true","167","100","55","true","167","7","5","true","167","5","25","true","167","150","35","true","167","50","45","true"
"168","53","15","true","168","97","55","true","168","7","5","true","168","5","25","true","168","150","35","true","168","50","45","true"
"169","53","15","true","169","97","55","true","169","7","5","true","169","5","25","true","169","150","35","true","169","50","45","true"
"170","47","15","true","170","103","55","true","170","7","5","true","170","5","25","true","170","150","35","true","170","50","45","true"
"171","50","15","true","171","100","55","true","171","7","5","true","171","5","25","true","171","150","35","true","171","50","45","true"
"172","53","15","true","172","97","55","true","172","7","5","true","172","5","25","true","172","150","35","true","172","50","45","true"
"173","48","15","true","173","102","55","true","173","7","5","true","173","5","25","true","173","150","35","true","173","50","45","true"
"174","49","15","true","174","101","55","true","174","7","5","true","174","5","25","true","174","150","35","true","174","50","45","true"
"175","50","15","true","175","100","55","true","175","7","5","true","175","5","25","true","175","150","35","true","175","50","45","true"
"176","48","15","true","176","102","55","true","176","7","5","true","176","5","25","true","176","150","35","true","176","50","45","true"
"177","45","15","true","177","105","55","true","177","7","5","true","177","5","25","true","177","150","35","true","177","50","45","true"
"178","45","15","true","178","105","55","true","178","7","5","true","178","5","25","true","178","150","35","true","178","50","45","true"
"179","44","15","true","179","106","55","true","179","7","5","true","179","5","25","true","179","150","35","true","179","50","45","true"
"180","42","15","true","180","108","55","true","180","7","5","true","180","5","25","true","180","150","35","true","180","50","45","true"
"181","42","15","true","181","108","55","true","181","7","5","true","181","5","25","true","181","150","35","true","181","50","45","true"
"182","40","15","true","182","110","55","true","182","7","5","true","182","5","25","true","182","150","35","true","182","50","45","true"
"183","41","15","true","183","109","55","true","183","7","5","true","183","5","25","true","183","150","35","true","183","50","45","true"
"184","40","15","true","184","110","55","true","184","7","5","true","184","5","25","true","184","150","35","true","184","50","45","true"
"185","38","15","true","185","112","55","true","185","7","5","true","185","5","25","true","185","150","35","true","185","50","45","true"
"186","39","15","true","186","111","55","true","186","7","5","true","186","5","25","true","186","150","35","true","186","50","45","true"
"187","37","15","true","187","113","55","true","187","7","5","true","187","5","25","true","187","150","35","true","187","50","45","true"
"188","37","15","true","188","113","55","true","188","7","5","true","188","5","25","true","188","150","35","true","188","50","45","true"
"189","37","15","true","189","113","55","true","189","7","5","true","189","5","25","true","189","150","35","true","189","50","45","true"
"190","36","15","true","190","114","55","true","190","7","5","true","190","5","25","true","190","150","35","true","190","50","45","true"
"191","37","15","true","191","113","55","true","191","7","5","true","191","5","25","true","191","150","35","true","191","50","45","true"
"192","38","15","true","192","112","55","true","192","7","5","true","192","5","25","true","192","150","35","true","192","50","45","true"
"193","37","15","true","193","113","55","true","193","7","5","true","193","5","25","true","193","150","35","true","193","50","45","true"
"194","36","15","true","194","114","55","true","194","7","5","true","194","5","25","true","194","150","35","true","194","50","45","true"
"195","34","15","true","195","116","55","true","195","7","5","true","195","5","25","true","195","150","35","true","195","50","45","true"
"196","35","15","true","196","115","55","true","196","7","5","true","196","5","25","true","196","150","35","true","196","50","45","true"
"197","34","15","true","197","116","55","true","197","7","5","true","197","5","25","true","197","150","35","true","197","50","45","true"
"198","32","15","true","198","118","55","true","198","7","5","true","198","5","25","true","198","150","35","true","198","50","45","true"
"199","31","15","true","199","119","55","true","199","7","5","true","199","5","25","true","199","150","35","true","199","50","45","true"
"200","30","15","true","200","120","55","true","200","7","5","true","200","5","25","true","200","150","35","true","200","50","45","true"
"201","30","15","true","201","120","55","true","201","7","5","true","201","5","25","true","201","150","35","true","201","50","45","true"
"202","31","15","true","202","119","55","true","202","7","5","true","202","5","25","true","202","150","35","true","202","50","45","true"
"203","29","15","true","203","121","55","true","203","7","5","true","203","5","25","true","203","150","35","true","203","50","45","true"
"204","31","15","true","204","119","55","true","204","7","5","true","204","5","25","true","204","150","35","true","204","50","45","true"
"205","33","15","true","205","117","55","true","205","7","5","true","205","5","25","true","205","150","35","true","205","50","45","true"
"206","34","15","true","206","116","55","true","206","7","5","true","206","5","25","true","206","150","35","true","206","50","45","true"
"207","34","15","true","207","116","55","true","207","7","5","true","207","5","25","true","207","150","35","true","207","50","45","true"
"208","33","15","true","208","117","55","true","208","7","5","true","208","5","25","true","208","150","35","true","208","50","45","true"
"209","36","15","true","209","114","55","true","209","7","5","true","209","5","25","true","209","150","35","true","209","50","45","true"
"210","38","15","true","210","112","55","true","210","7","5","true","210","5","25","true","210","150","35","true","210","50","45","true"
"211","37","15","true","211","113","55","true","211","7","5","true","211","5","25","true","211","150","35","true","211","50","45","true"
"212","36","15","true","212","114","55","true","212","7","5","true","212","5","25","true","212","150","35","true","212","50","45","true"
"213","36","15","true","213","114","55","true","213","7","5","true","213","5","25","true","213","150","35","true","213","50","45","true"
"214","38","15","true","214","112","55","true","214","7","5","true","214","5","25","true","214","150","35","true","214","50","45","true"
"215","44","15","true","215","106","55","true","215","7","5","true","215","5","25","true","215","150","35","true","215","50","45","true"
"216","47","15","true","216","103","55","true","216","7","5","true","216","5","25","true","216","150","35","true","216","50","45","true"
"217","46","15","true","217","104","55","true","217","7","5","true","217","5","25","true","217","150","35","true","217","50","45","true"
"218","45","15","true","218","105","55","true","218","7","5","true","218","5","25","true","218","150","35","true","218","50","45","true"
"219","45","15","true","219","105","55","true","219","7","5","true","219","5","25","true","219","150","35","true","219","50","45","true"
"220","46","15","true","220","104","55","true","220","7","5","true","220","5","25","true","220","150","35","true","220","50","45","true"
"221","47","15","true","221","103","55","true","221","7","5","true","221","5","25","true","221","150","35","true","221","50","45","true"
"222","47","15","true","222","103","55","true","222","7","5","true","222","5","25","true","222","150","35","true","222","50","45","true"
"223","41","15","true","223","109","55","true","223","7","5","true","223","5","25","true","223","150","35","true","223","50","45","true"
"224","44","15","true","224","106","55","true","224","7","5","true","224","5","25","true","224","150","35","true","224","50","45","true"
"225","41","15","true","225","109","55","true","225","7","5","true","225","5","25","true","225","150","35","true","225","50","45","true"
"226","45","15","true","226","105","55","true","226","7","5","true","226","5","25","true","226","150","35","true","226","50","45","true"
"227","40","15","true","227","110","55","true","227","7","5","true","227","5","25","true","227","150","35","true","227","50","45","true"
"228","42","15","true","228","108","55","true","228","7","5","true","228","5","25","true","228","150","35","true","228","50","45","true"
"229","46","15","true","229","104","55","true","229","7","5","true","229","5","25","true","229","150","35","true","229","50","45","true"
"230","47","15","true","230","103","55","true","230","7","5","true","230","5","25","true","230","150","35","true","230","50","45","true"
"231","49","15","true","231","101","55","true","231","7","5","true","231","5","25","true","231","150","35","true","231","50","45","true"
"232","49","15","true","232","101","55","true","232","7","5","true","232","5","25","true","232","150","35","true","232","50","45","true"
"233","50","15","true","233","100","55","true","233","7","5","true","233","5","25","true","233","150","35","true","233","50","45","true"
"234","51","15","true","234","99","55","true","234","7","5","true","234","5","25","true","234","150","35","true","234","50","45","true"
"235","52","15","true","235","98","55","true","235","7","5","true","235","5","25","true","235","150","35","true","235","50","45","true"
"236","54","15","true","236","96","55","true","236","7","5","true","236","5","25","true","236","150","35","true","236","50","45","true"
"237","53","15","true","237","97","55","true","237","7","5","true","237","5","25","true","237","150","35","true","237","50","45","true"
"238","54","15","true","238","96","55","true","238","7","5","true","238","5","25","true","238","150","35","true","238","50","45","true"
"239","54","15","true","239","96","55","true","239","7","5","true","239","5","25","true","239","150","35","true","239","50","45","true"
"240","54","15","true","240","96","55","true","240","7","5","true","240","5","25","true","240","150","35","true","240","50","45","true"
"241","55","15","true","241","95","55","true","241","7","5","true","241","5","25","true","241","150","35","true","241","50","45","true"
"242","58","15","true","242","92","55","true","242","7","5","true","242","5","25","true","242","150","35","true","242","50","45","true"
"243","59","15","true","243","91","55","true","243","7","5","true","243","5","25","true","243","150","35","true","243","50","45","true"
"244","55","15","true","244","95","55","true","244","7","5","true","244","5","25","true","244","150","35","true","244","50","45","true"
"245","54","15","true","245","96","55","true","245","7","5","true","245","5","25","true","245","150","35","true","245","50","45","true"
"246","54","15","true","246","96","55","true","246","7","5","true","246","5","25","true","246","150","35","true","246","50","45","true"
"247","59","15","true","247","91","55","true","247","7","5","true","247","5","25","true","247","150","35","true","247","50","45","true"
"248","61","15","true","248","89","55","true","248","7","5","true","248","5","25","true","248","150","35","true","248","50","45","true"
"249","64","15","true","249","86","55","true","249","7","5","true","249","5","25","true","249","150","35","true","249","50","45","true"
"250","62","15","true","250","88","55","true","250","7","5","true","250","5","25","true","250","150","35","true","250","50","45","true"
"251","69","15","true","251","81","55","true","251","7","5","true","251","5","25","true","251","150","35","true","251","50","45","true"
"252","66","15","true","252","84","55","true","252","7","5","true","252","5","25","true","252","150","35","true","252","50","45","true"
"253","66","15","true","253","84","55","true","253","7","5","true","253","5","25","true","253","150","35","true","253","50","45","true"
"254","61","15","true","254","89","55","true","254","7","5","true","254","5","25","true","254","150","35","true","254","50","45","true"
"255","59","15","true","255","91","55","true","255","7","5","true","255","5","25","true","255","150","35","true","255","50","45","true"
"256","59","15","true","256","91","55","true","256","7","5","true","256","5","25","true","256","150","35","true","256","50","45","true"
"257","54","15","true","257","96","55","true","257","7","5","true","257","5","25","true","257","150","35","true","257","50","45","true"
"258","56","15","true","258","94","55","true","258","7","5","true","258","5","25","true","258","150","35","true","258","50","45","true"
"259","56","15","true","259","94","55","true","259","7","5","true","259","5","25","true","259","150","35","true","259","50","45","true"
"260","58","15","true","260","92","55","true","260","7","5","true","260","5","25","true","260","150","35","true","260","50","45","true"
"261","56","15","true","261","94","55","true","261","7","5","true","261","5","25","true","261","150","35","true","261","50","45","true"
